gene_id,section,rank,gene_name,stability_score,normfinder_score,genorm_score,cv,rcvm
FBgn0182068,4,1,Coro,0.075906,0.059783,0.000000,0.008536,0.0112
FBgn0186743,4,2,CycG,0.097391,0.176373,0.112073,0.000000,0.1011
FBgn0194689,4,3,CG11927,0.111590,0.098130,0.106580,0.104336,0.1373
FBgn0181924,4,4,CG8635,0.113976,0.097654,0.086269,0.105834,0.1661
FBgn0193626,4,5,Dnz1,0.116747,0.172204,0.140311,0.154472,0.0000
FBgn0184651,4,6,Atat,0.119407,0.087174,0.075803,0.200827,0.1138
FBgn0196300,4,7,PPP1R15,0.131649,0.145647,0.074404,0.161318,0.1452
FBgn0185678,4,8,CG9953,0.137656,0.236513,0.145959,0.034089,0.1341
FBgn0188440,4,9,Tom40,0.143755,0.053948,0.071658,0.152974,0.2964
FBgn0188352,1,426,Act5C,,,,0.00679,0.0073
FBgn0188811,4,448,Gapdh1,,,,0.056012,0.0694
FBgn0040418,2,203,RpL32,0.655523,0.761889,0.754216,0.759414,0.3466
			
